text_asli,removed_noise,removed_alay,removed_stopwords
rt @iffgone: harapan untuk pkp tamat pada 14 april macam tipis. china yang katanya dah zero infection pun mula ada kes baru dan dorang dah…,harapan untuk pkp tamat pada 14 april macam tipis. china yang katanya dah zero infection pun mula ada kes baru dan dorang dah…,harapan untuk pkp tamat pada 14 april macam tipis. china yang katanya deh zero infection pun mula ada kes baru dan dorang dah…,harapan pkp tamat 14 april tipis . china deh zero infection kes dorang …
"yang saya lakukan ketika lockdown 
menyusun puzzle,minum coklat panas bermain tic tac toe minum coklat panas bermain puzzle","yang saya lakukan ketika menyusun puzzle,minum coklat panas bermain tic tac toe minum coklat panas bermain puzzle","yang saya lakukan ketika menyusun puzzle,minum coklat panas bermain tic tac toe minum coklat panas bermain puzzle","lakukan menyusun puzzle , minum coklat panas bermain tic tac toe minum coklat panas bermain puzzle"
"rt @jjrizal: kalo saja istana tdk telat, tegas, terbuka kasih unjuk sikap mau sama2 handle ini en tetapkan lockdown termasuk subsidi ekonom…","kalo saja istana tdk telat, tegas, terbuka kasih unjuk sikap mau sama2 handle ini en tetapkan termasuk subsidi ekonom…","kalo saja istana tidak telat, tegas, terbuka kasih unjuk sikap mau sama-sama handle ini en tetapkan termasuk subsidi ekonom…","istana telat , , terbuka kasih unjuk sikap handle en tetapkan subsidi ekonom …"
"rt @kangnawan: maraknya desa-desa di indonesia yang melakukan self-lockdown membuat heran seorang diplomat negera asing.  ""koq bisa, kan bl…","maraknya desa-desa di yang melakukan self-lockdown membuat heran seorang diplomat negera asing. ""koq bisa, kan bl…","maraknya desa-desa di yang melakukan self-lockdown membuat heran seorang diplomat negera asing. ""koq bisa, kan bl…","maraknya desa-desa self - heran diplomat negera asing . "" koq , bl …"
"berniat menanam buah-buah bonsai untuk dimakan sendiri. eh, pengirimannya lockdown. ya sudah pasti sih, bandel","berniat menanam buah-buah bonsai untuk dimakan sendiri. eh, pengirimannya lockdown. ya sudah pasti sih, bandel","berniat menanam buah-buah bonsai untuk dimakan sendiri. eh, pengirimannya lockdown. ya sudah pasti sih, bandel","berniat menanam buah - buah bonsai dimakan . eh , pengirimannya . , bandel"
rt @jpnncom: tni angkatan darat tengah menggenjot pembangunan laboratorium untuk menunjang tes cepat atau rapid test virus corona (covid-19…,tni angkatan darat tengah menggenjot pembangunan laboratorium untuk menunjang tes cepat atau rapid test virus corona (covid-19…,tni angkatan darat tengah menggenjot pembangunan laboratorium untuk menunjang tes cepat atau rapid test virus corona (covid-19…,tni angkatan darat menggenjot pembangunan laboratorium menunjang tes cepat rapid test virus corona ( covid - 19 …
mereka2 yang berjaya mendapat bantuan dari kerajaan tu aku harap bijak berbelanja. jangan pikir nak membazir. kita takntahu sampai bila keadaan ni. kalau pun lockdown selesi life kita kena mula balik. jgn bergantung 100% pada kerajaan utk jaga kita. #bewisenstayhome,mereka2 yang berjaya mendapat bantuan dari kerajaan tu aku harap bijak berbelanja. jangan pikir nak membazir. kita takntahu sampai bila keadaan ni. kalau pun selesi life kita kena mula balik. jgn bergantung 100% pada kerajaan utk jaga kita. #bewisenstayhome,mereka-mereka yang berjaya mendapat bantuan dari kerajaan itu aku harap bijak berbelanja. jangan pikir nak membazir. kita takntahu sampai bila keadaan ni. kalau pun selesi life kita kena mula balik. jangan bergantung 100% pada kerajaan untuk jaga kita. #bewisenstayhome,mereka-mereka berjaya bantuan kerajaan harap bijak berbelanja . pikir membazir . takntahu . selesi life kena . bergantung 100 % kerajaan jaga . #bewisenstayhome
"rt @arwidodo: kondisi lockdown akibat wabah virus corona, banyak pekerja harian dan keluarga mereka yang sangat terpukul. mereka akan sanga…","kondisi akibat wabah virus corona, banyak pekerja harian dan keluarga mereka yang sangat terpukul. mereka akan sanga…","kondisi akibat wabah virus corona, banyak pekerja harian dan keluarga mereka yang sangat terpukul. mereka akan sanga…","kondisi akibat wabah virus corona , pekerja harian keluarga terpukul . sanga …"
rt @kompastv: begini situasi semi lockdown di singapura untuk putus rantai corona https://t.co/dwaqnmet8t https://t.co/a3qahtxkxl,begini situasi semi di singapura untuk putus rantai corona,begini situasi semi di singapura untuk putus rantai corona,situasi semi singapura putus rantai corona
@ilhamtotep ndak dulu fren seng mijeti di lockdown semehe,ndak dulu fren seng mijeti di semehe,indak dulu fren seng mijeti di semehe,indak fren seng mijeti semehe
rt @detikcom: spanyol mengumumkan perpanjangan masa lockdown untuk mencegah penyebaran corona. kebijakan lockdown di spanyol membuahkan has…,spanyol mengumumkan perpanjangan masa untuk mencegah penyebaran corona. kebijakan di spanyol membuahkan has…,spanyol mengumumkan perpanjangan masa untuk mencegah penyebaran corona. kebijakan di spanyol membuahkan has…,spanyol mengumumkan perpanjangan mencegah penyebaran corona . kebijakan spanyol membuahkan has …
@berlianidris sayangnya tidak menampilkan estimasi biaya intervensi per jiwa penduduk (tindakan dan stimulus jika lockdown) yg dibutuhkan utk eksekusi masing2 metode,sayangnya tidak menampilkan estimasi biaya intervensi per jiwa penduduk (tindakan dan stimulus jika lockdown) yg dibutuhkan utk eksekusi masing2 metode,sayangnya tidak menampilkan estimasi biaya intervensi per jiwa penduduk (tindakan dan stimulus jika lockdown) yang dibutuhkan untuk eksekusi masing-masing metode,sayangnya menampilkan estimasi biaya intervensi jiwa penduduk ( tindakan stimulus ) dibutuhkan eksekusi metode
total lockdown ang rizal. iyaq 😭,total ang rizal. iyaq 😭,total ang rizal. iyaq 😭,total ang rizal . iyaq 😭
otak ikut ikutan ke lockdown bnr bnr gabs mikir mneh.,otak ikut ikutan ke bnr bnr gabs mikir mneh.,otak ikut ikutan ke benar benar gabs mikir mneh.,otak ikutan gabs mikir mneh .
"rt @demokrasicoid: deddy corbuzier bikin survei, 67 persen warganet setuju lockdown sementara
https://t.co/dydh7dhnsk","deddy corbuzier bikin survei, 67 persen warganet setuju","deddy corbuzier bikin survei, 67 persen warganet setuju","deddy corbuzier bikin survei , 67 persen warganet setuju"
"@mentimoen sebagian orang merasa telah 'tertipu' sama solusi lockdown gaya china😂

https://t.co/8og1z3vlyg",sebagian orang merasa telah 'tertipu' sama solusi gaya,sebagian orang merasa telah 'tertipu' sama solusi gaya,orang ' tertipu ' solusi gaya
rt @intan_nurdiyana: aku dh rasa macam filem hunger games lepastu ad district memasing bila sukarelawan hantar bekalan makanan kat tempat l…,aku dh rasa macam filem hunger games lepastu ad district memasing bila sukarelawan hantar bekalan makanan kat tempat l…,aku dah rasa macam filem hunger games lepastu ada district memasing bila sukarelawan hantar bekalan makanan kat tempat l…,filem hunger games lepastu district memasing sukarelawan hantar bekalan makanan kat l …
lockdown || versi khalifah umar bin khattab || doa penangkal virus coron... https://t.co/24fgtxfz0t lewat @youtube,|| versi khalifah umar bin khattab || doa penangkal virus coron... lewat,|| versi khalifah umar bin khattab || doa penangkal virus coron... lewat,|| versi khalifah umar bin khattab || doa penangkal virus coron ...
"saya kira, lockdown, kuliah onlen, #dirumahaja, bakal membosankan

ternyata malah memuakkan","saya kira, lockdown, kuliah onlen, #dirumahaja, bakal membosankan

ternyata malah memuakkan","saya kira, lockdown, kuliah onlen, #dirumahaja, bakal membosankan

ternyata malah memuakkan",", , kuliah onlen , #dirumahaja , membosankan 

 memuakkan"
"rt @merdekadotcom: cerita kota di spanyol sukses lakukan lockdown, tak ada warga terinfeksi virus corona https://t.co/p27g3oxwpj","cerita kota di spanyol sukses lakukan lockdown, tak ada warga terinfeksi virus corona","cerita kota di spanyol sukses lakukan lockdown, tak ada warga terinfeksi virus corona","cerita kota spanyol sukses lakukan , warga terinfeksi virus corona"
"@partaisocmed @aniesbaswedan @jokowi kl himbauan di bilang lbh baik berarti ente liatnya dari kacamata omongan lbh baik dari action..
penanganan kan bukan cuma surat edaran tapi actionnya di lapangan, lockdown itu langkah?langkah itu preventif di awal semisal desinfektan wilayah, jaga jarak, liburkan smua gedung..","kl himbauan di bilang lbh baik berarti ente liatnya dari kacamata omongan lbh baik dari action..
penanganan kan bukan cuma surat edaran tapi actionnya di lapangan, itu langkah?langkah itu preventif di awal semisal desinfektan wilayah, jaga jarak, liburkan smua gedung..","kalo himbauan di bilang lebih baik berarti ente lihatnya dari kacamata omongan lebih baik dari action..
penanganan kan bukan cuma surat edaran tapi actionnya di lapangan, itu langkah?langkah itu preventif di awal semisal desinfektan wilayah, jaga jarak, liburkan semua gedung..","himbauan bilang ente lihatnya kacamata omongan action .. 
 penanganan surat edaran actionnya lapangan , langkah?langkah preventif desinfektan wilayah , jaga jarak , liburkan gedung .."
"kampus lockdown
tugas smackdown
mahasiswa downsyndrome","kampus lockdown
tugas smackdown
mahasiswa downsyndrome","kampus lockdown
tugas smackdown
mahasiswa downsyndrome","kampus 
 tugas smackdown 
 mahasiswa downsyndrome"
belasan ribu orang ditangkap karena melanggar aturan lockdown di afrika selatan https://t.co/qy4taofacv,belasan ribu orang ditangkap karena melanggar aturan di afrika selatan,belasan ribu orang ditangkap karena melanggar aturan di afrika selatan,belasan ribu orang ditangkap melanggar aturan afrika selatan
"@djimiarvin lockdown mengurangi tingkat penularan, bukan menyembuhkan yg sakit dan mencegah kematian. komentar2 pejabat indonesia soal lockdown itali menggemaskan.","mengurangi tingkat penularan, bukan menyembuhkan yg sakit dan mencegah kematian. komentar2 pejabat soal itali menggemaskan.","mengurangi tingkat penularan, bukan menyembuhkan yang sakit dan mencegah kematian. komentar-komentar pejabat soal itali menggemaskan.","mengurangi tingkat penularan , menyembuhkan sakit mencegah kematian . komentar - komentar pejabat itali menggemaskan ."
"rt @anwar_26927: lepas 14 hari lockdown, aku turun berat 4kg. wow. okay aku nak maintain raw garlic dengan madu setiap hari. https://t.co/g…","lepas 14 hari lockdown, aku turun berat 4kg. wow. okay aku nak maintain raw garlic dengan madu setiap hari.","lepas 14 hari lockdown, aku turun berat 4kg. wow. okay aku nak maintain raw garlic dengan madu setiap hari.","lepas 14 , turun berat 4 kg . wow . okay maintain raw garlic madu ."
nampaknya bukan iblis je yang kena lockdown ramadan ni..,nampaknya bukan iblis je yang kena ramadan ni..,nampaknya bukan iblis je yang kena ramadan ni..,nampaknya iblis je kena ramadan ..
"rt @thekalllll: lock out = perintah kawalan
                    pergerakan 

lockdown = perintah berkurung 

goblock = manusia yang tak…",lock out = perintah kawalan pergerakan = perintah berkurung goblock = manusia yang tak…,lock out = perintah kawalan pergerakan = perintah berkurung goblock = manusia yang tak…,lock out = perintah kawalan pergerakan = perintah berkurung goblock = manusia …
@bebebkumamabeth kecemasan para wanita karier efek lockdown 😂😂,kecemasan para wanita karier efek 😂😂,kecemasan para wanita karier efek 😂😂,kecemasan wanita karier efek 😂 😂
@nephilaxmus efek lockdown di italia mulai dirasakan sekarang.,efek di italia mulai dirasakan sekarang.,efek di italia mulai dirasakan sekarang.,efek italia dirasakan .
"maraknya desa-desa di indonesia yang melakukan self-lockdown membuat heran seorang diplomat negera asing.  ""koq bisa, kan blm ada perintah dari pemerintah pusat?"", tanyanya.
""negara sedang auto pilot"", jawab staf lokal kedutaan dengan kalem.","maraknya desa-desa di yang melakukan self-lockdown membuat heran seorang diplomat negera asing. ""koq bisa, kan blm ada perintah dari pemerintah pusat?"", tanyanya.
""negara sedang auto pilot"", jawab staf lokal kedutaan dengan kalem.","maraknya desa-desa di yang melakukan self-lockdown membuat heran seorang diplomat negera asing. ""koq bisa, kan belum ada perintah dari pemerintah pusat?"", tanyanya.
""negara sedang auto pilot"", jawab staf lokal kedutaan dengan kalem.","maraknya desa-desa self - heran diplomat negera asing . "" koq , perintah pemerintah pusat ? "" , . 
 "" negara auto pilot "" , staf lokal kedutaan kalem ."
"rt @firzahusain: gara2 pernyataan donald trump kini kota2 besar amerika kayak kota mati, warga takut keluar rumah meskipun ga ada lockdown…","gara2 pernyataan donald trump kini kota2 besar amerika kayak kota mati, warga takut keluar rumah meskipun ga ada lockdown…","gara-gara pernyataan donald trump kini kota2 besar amerika kayak kota mati, warga takut keluar rumah meskipun enggak ada lockdown…","gara-gara pernyataan donald trump kota2 amerika kota mati , warga takut rumah …"
"rt @rizmawidiono: said didu sebut pikiran luhut pandjaitan hanya uang dibanding urus corona, luhut bakal lapor polisi

pidanakan saja...kar…","said didu sebut pikiran luhut pandjaitan hanya uang dibanding urus corona, luhut bakal lapor polisi

pidanakan saja...kar…","said didu sebut pikiran luhut pandjaitan hanya uang dibanding urus corona, luhut bakal lapor polisi

pidanakan saja...kar…","said didu pikiran luhut pandjaitan uang dibanding urus corona , luhut lapor polisi 

 pidanakan ... kar …"
"rt @kontannews: dubai berlakukan lockdown dua pekan, jeddah lockdown di tujuh wilayah https://t.co/quc9xhbjic #viruscorona","dubai berlakukan dua pekan, jeddah di tujuh wilayah #viruscorona","dubai berlakukan dua pekan, jeddah di tujuh wilayah #viruscorona","dubai berlakukan pekan , jeddah tujuh wilayah #viruscorona"
